用户id,订单量,商品种类数,商品数量,用户长度,复购次数
3200,2,1,3,21,1
32000,1,1,1,12,
32001,1,1,2,50,
32002,6,3,9,180,3
32003,13,5,27,173,8
32004,9,6,15,327,3
32005,2,2,3,33,0
32006,13,10,14,264,3
32007,2,1,2,77,1
32008,2,2,2,79,0
32009,1,1,1,49,
3201,6,6,6,218,0
32010,2,2,2,15,0
32011,9,6,18,158,3
32012,17,5,20,365,12
32013,10,4,18,164,6
32014,1,1,1,87,
32015,7,7,7,166,0
32016,4,4,4,357,0
32017,2,1,2,70,1
32018,11,9,15,156,2
32019,16,11,40,358,5
3202,9,9,10,335,0
32020,4,3,17,136,1
32021,18,14,23,364,4
32022,1,1,2,37,
32023,21,9,28,187,12
32024,2,2,2,86,0
32025,10,9,10,346,1
32026,1,1,1,16,
32027,1,1,1,58,
32028,2,1,8,42,1
32029,1,1,1,56,
3203,9,6,9,170,3
32030,3,3,3,61,0
32031,3,1,4,52,2
32032,3,1,7,66,2
32033,1,1,1,9,
32034,13,7,49,353,6
32035,1,1,3,82,
32036,6,5,14,95,1
32037,8,4,13,358,4
32038,5,5,5,60,0
32039,36,16,42,334,20
3204,38,19,46,363,19
32040,5,4,5,19,1
32041,5,3,8,102,2
32042,6,5,11,202,1
32043,8,5,10,119,3
32044,2,2,2,106,0
32045,7,4,12,171,3
32046,17,10,19,334,7
32047,1,1,3,29,
32048,1,1,1,89,
32049,13,11,16,125,2
3205,1,1,1,58,
32050,11,7,14,169,4
32051,6,3,17,171,3
32052,8,6,8,209,2
32053,26,17,63,323,9
32054,46,33,71,340,13
32055,1,1,1,15,
32056,1,1,1,14,
32057,3,3,3,205,0
32058,6,6,6,191,0
32059,15,12,18,323,3
3206,2,2,3,45,0
32060,1,1,1,20,
32061,7,3,7,156,4
32062,14,10,18,317,4
32063,4,4,6,11,0
32064,1,1,1,13,
32065,9,3,15,360,6
32066,6,3,8,327,3
32067,3,3,3,70,0
32068,4,4,4,365,0
32069,2,2,2,143,0
3207,5,4,5,25,1
32070,2,2,2,49,0
32071,2,2,2,52,0
32072,1,1,2,68,
32073,14,5,15,354,9
32074,7,3,8,351,4
32075,4,2,4,157,2
32076,4,4,4,105,0
32077,3,2,4,233,1
32078,1,1,1,11,
32079,1,1,1,14,
3208,1,1,2,19,
32080,1,1,5,70,
32081,1,1,1,8,
32082,3,3,7,197,0
32083,22,18,26,224,4
32084,4,4,4,230,0
32085,16,15,27,180,1
32086,16,3,22,357,13
32087,26,22,33,364,4
32088,14,13,21,154,1
32089,4,3,8,121,1
3209,6,3,7,104,3
32090,1,1,3,15,
32091,17,11,26,321,6
32092,4,4,4,176,0
32093,4,2,7,82,2
32094,2,2,3,76,0
32095,3,1,3,180,2
32096,2,2,2,88,0
32097,9,4,11,274,5
32098,1,1,1,87,
32099,28,12,43,363,16
321,3,3,3,239,0
3210,5,3,9,173,2
32100,1,1,1,44,
32101,27,19,37,225,8
32102,9,4,12,299,5
32103,25,21,28,275,4
32104,3,3,6,48,0
32105,1,1,1,53,
32106,13,6,21,328,7
32107,4,2,4,163,2
32108,12,11,15,88,1
32109,1,1,1,44,
3211,4,4,4,140,0
32110,2,2,2,17,0
32111,3,1,3,124,2
32112,16,6,17,324,10
32113,7,7,18,171,0
32114,3,3,3,267,0
32115,6,4,9,146,2
32116,1,1,1,12,
32117,16,9,22,336,7
32118,1,1,1,83,
32119,1,1,1,17,
3212,17,14,19,351,3
32120,2,2,2,8,0
32121,8,6,8,49,2
32122,13,6,25,330,7
32123,5,4,10,101,1
32124,2,2,3,154,0
32125,6,6,10,355,0
32126,13,6,13,282,7
32127,5,5,7,20,0
32128,2,2,2,139,0
32129,2,2,2,73,0
3213,4,4,4,88,0
32130,1,1,1,82,
32131,5,3,5,319,2
32132,1,1,3,29,
32133,8,4,8,238,4
32134,4,3,4,349,1
32135,15,11,15,365,4
32136,5,4,5,359,1
32137,11,9,20,156,2
32138,6,4,13,292,2
32139,6,6,7,321,0
3214,4,3,4,204,1
32140,3,3,10,316,0
32141,12,7,13,361,5
32142,1,1,1,35,
32143,2,2,2,208,0
32144,4,4,8,124,0
32145,4,3,12,171,1
32146,14,9,26,192,5
32147,2,1,3,133,1
32148,1,1,1,22,
32149,6,4,6,361,2
3215,16,14,19,276,2
32150,1,1,1,44,
32151,15,12,15,296,3
32152,3,3,8,140,0
32153,3,3,3,172,0
32154,22,13,32,269,9
32155,10,7,10,310,3
32156,2,2,2,112,0
32157,4,4,5,201,0
32158,7,7,7,32,0
32159,30,12,34,362,18
3216,1,1,2,63,
32160,7,4,7,294,3
32161,4,1,7,180,3
32162,16,9,23,354,7
32163,6,4,6,140,2
32164,6,4,8,133,2
32165,8,8,10,115,0
32166,3,3,3,205,0
32167,9,6,16,157,3
32168,2,2,3,50,0
32169,8,4,8,347,4
3217,9,7,11,357,2
32170,9,5,42,135,4
32171,5,4,5,187,1
32172,12,7,29,318,5
32173,3,3,6,289,0
32174,7,4,8,261,3
32175,4,4,4,26,0
32176,2,2,2,5,0
32177,2,1,2,68,1
32178,4,3,4,187,1
32179,26,15,47,348,11
3218,21,5,42,345,16
32180,5,3,5,175,2
32181,1,1,2,80,
32182,26,11,31,359,15
32183,1,1,2,51,
32184,8,3,9,187,5
32185,6,1,6,288,5
32186,2,2,2,117,0
32187,15,9,16,171,6
32188,7,5,7,174,2
32189,20,10,39,208,10
3219,13,10,15,353,3
32190,20,8,29,201,12
32191,10,3,12,240,7
32192,7,4,7,197,3
32193,2,2,2,74,0
32194,5,5,5,181,0
32195,1,1,1,45,
32196,10,6,11,156,4
32197,4,2,5,111,2
32198,24,11,65,140,13
32199,88,59,224,353,29
322,10,7,12,118,3
3220,3,3,3,57,0
32200,17,2,74,120,15
32201,7,7,8,364,0
32202,7,7,10,354,0
32203,13,6,14,335,7
32204,4,3,5,171,1
32205,5,5,6,96,0
32206,2,2,2,108,0
32207,4,2,4,176,2
32208,5,4,9,306,1
32209,19,5,19,362,14
3221,11,7,11,362,4
32210,4,3,4,76,1
32211,5,4,5,140,1
32212,1,1,1,17,
32213,6,6,6,344,0
32214,12,6,15,117,6
32215,16,4,18,301,12
32216,2,1,2,90,1
32217,4,3,6,171,1
32218,1,1,1,3,
32219,8,7,8,179,1
3222,5,4,6,95,1
32220,6,5,6,254,1
32221,2,2,4,56,0
32222,7,4,7,190,3
32223,14,5,41,359,9
32224,4,2,6,167,2
32225,17,10,28,172,7
32226,5,3,12,49,2
32227,4,3,4,305,1
32228,3,3,3,304,0
32229,3,3,3,120,0
3223,1,1,1,85,
32230,14,4,19,210,10
32231,1,1,1,87,
32232,2,2,4,17,0
32233,9,5,9,314,4
32234,1,1,1,37,
32235,6,4,8,146,2
32236,1,1,2,55,
32237,1,1,1,60,
32238,4,3,5,107,1
32239,6,4,7,275,2
3224,46,22,46,359,24
32240,3,3,3,17,0
32241,10,9,10,326,1
32242,2,1,10,19,1
32243,9,7,11,191,2
32244,3,3,3,17,0
32245,8,7,11,171,1
32246,2,2,5,71,0
32247,6,5,17,213,1
32248,11,6,15,142,5
32249,1,1,1,18,
3225,5,2,5,332,3
32250,1,1,1,79,
32251,1,1,2,28,
32252,2,1,2,70,1
32253,4,3,4,302,1
32254,4,3,5,170,1
32255,21,6,24,309,15
32256,2,2,2,6,0
32257,17,8,39,324,9
32258,22,10,24,355,12
32259,1,1,1,77,
3226,16,15,25,256,1
32260,1,1,1,67,
32261,5,4,7,311,1
32262,55,36,124,350,19
32263,1,1,1,5,
32264,1,1,1,33,
32265,17,5,24,350,12
32266,19,13,30,342,6
32267,9,3,9,294,6
32268,9,7,18,178,2
32269,12,6,14,363,6
3227,6,4,6,247,2
32270,4,3,7,282,1
32271,3,3,3,124,0
32272,13,9,13,268,4
32273,3,1,3,85,2
32274,34,24,79,325,10
32275,3,3,3,235,0
32276,2,2,3,58,0
32277,2,2,2,35,0
32278,7,4,11,242,3
32279,3,3,9,31,0
3228,4,2,4,178,2
32280,14,8,21,317,6
32281,5,5,7,240,0
32282,13,10,21,203,3
32283,7,5,7,123,2
32284,3,3,3,66,0
32285,22,17,22,232,5
32286,6,5,7,343,1
32287,17,11,18,204,6
32288,10,5,10,66,5
32289,5,4,8,328,1
3229,3,3,3,343,0
32290,2,2,2,41,0
32291,11,5,12,329,6
32292,1,1,1,11,
32293,2,2,2,69,0
32294,9,4,9,120,5
32295,15,11,17,347,4
32296,4,4,6,350,0
32297,10,8,12,112,2
32298,3,1,5,120,2
32299,3,2,3,208,1
323,38,17,64,358,21
3230,1,1,5,66,
32300,22,19,49,363,3
32301,1,1,1,72,
32302,2,2,5,14,0
32303,2,2,2,88,0
32304,11,5,50,356,6
32305,2,2,2,31,0
32306,1,1,1,75,
32307,5,4,5,88,1
32308,7,6,7,354,1
32309,12,8,12,332,4
3231,1,1,1,28,
32310,2,2,2,39,0
32311,9,3,23,359,6
32312,24,19,30,349,5
32313,5,3,7,106,2
32314,1,1,1,57,
32315,7,4,7,317,3
32316,3,3,3,221,0
32317,16,13,20,364,3
32318,2,2,2,13,0
32319,14,5,19,141,9
3232,26,17,32,337,9
32320,3,2,5,165,1
32321,3,2,3,99,1
32322,4,4,4,104,0
32323,14,8,20,111,6
32324,19,9,28,302,10
32325,11,5,17,322,6
32326,1,1,1,6,
32327,13,9,13,361,4
32328,2,2,2,353,0
32329,6,5,22,110,1
3233,1,1,1,4,
32330,3,2,3,44,1
32331,2,2,2,121,0
32332,11,8,12,63,3
32333,17,13,62,316,4
32334,14,10,23,337,4
32335,6,5,8,172,1
32336,16,11,16,363,5
32337,1,1,2,35,
32338,21,7,30,358,14
32339,12,11,16,343,1
3234,6,4,10,317,2
32340,3,3,4,137,0
32341,1,1,1,39,
32342,23,18,35,360,5
32343,5,3,5,72,2
32344,8,8,11,362,0
32345,8,7,44,204,1
32346,10,6,12,222,4
32347,7,4,7,361,3
32348,1,1,1,12,
32349,27,9,66,315,18
3235,7,5,13,325,2
32350,8,7,9,345,1
32351,1,1,1,68,
32352,1,1,2,81,
32353,3,2,3,347,1
32354,31,21,81,67,10
32355,36,13,45,344,23
32356,4,3,4,247,1
32357,5,2,8,322,3
32358,11,8,13,171,3
32359,1,1,1,53,
3236,48,41,59,317,7
32360,5,4,8,101,1
32361,1,1,1,23,
32362,16,13,16,223,3
32363,4,4,6,171,0
32364,9,6,25,248,3
32365,4,2,8,287,2
32366,2,2,2,26,0
32367,30,19,37,361,11
32368,25,22,31,349,3
32369,6,1,6,339,5
3237,48,12,78,289,36
32370,1,1,1,20,
32371,8,8,12,327,0
32372,2,2,2,3,0
32373,5,4,15,170,1
32374,1,1,1,28,
32375,4,2,4,125,2
32376,15,10,17,210,5
32377,10,3,10,328,7
32378,23,8,39,235,15
32379,3,3,4,27,0
3238,2,1,3,96,1
32380,3,2,3,39,1
32381,6,4,10,203,2
32382,2,2,2,7,0
32383,1,1,1,62,
32384,1,1,1,6,
32385,1,1,1,57,
32386,4,3,6,131,1
32387,15,9,18,162,6
32388,8,5,15,319,3
32389,7,4,10,34,3
3239,5,4,7,328,1
32390,8,4,8,147,4
32391,10,4,10,218,6
32392,2,2,2,77,0
32393,4,3,4,172,1
32394,10,6,10,339,4
32395,3,2,8,358,1
32396,7,1,7,111,6
32397,61,42,106,362,19
32398,2,2,3,70,0
32399,9,6,15,211,3
324,16,14,33,337,2
3240,29,16,37,355,13
32400,22,17,40,358,5
32401,11,1,45,351,10
32402,7,7,7,218,0
32403,2,2,2,83,0
32404,6,4,7,357,2
32405,3,2,3,136,1
32406,5,5,6,113,0
32407,2,2,2,25,0
32408,2,2,3,168,0
32409,9,7,14,297,2
3241,3,2,3,115,1
32410,7,6,13,268,1
32411,1,1,1,10,
32412,23,21,32,317,2
32413,2,1,2,28,1
32414,4,4,15,174,0
32415,3,3,6,297,0
32416,7,7,8,320,0
32417,1,1,1,9,
32418,1,1,1,76,
32419,9,8,14,187,1
3242,1,1,1,35,
32420,5,4,13,339,1
32421,3,3,4,74,0
32422,4,4,4,140,0
32423,10,3,11,361,7
32424,15,6,20,361,9
32425,2,2,4,78,0
32426,1,1,1,34,
32427,23,10,34,364,13
32428,10,5,14,320,5
32429,1,1,1,10,
3243,3,2,3,82,1
32430,6,5,8,310,1
32431,2,2,2,328,0
32432,7,4,8,274,3
32433,9,4,15,319,5
32434,4,2,6,79,2
32435,8,6,9,157,2
32436,12,8,12,133,4
32437,6,6,6,301,0
32438,1,1,1,18,
32439,38,9,49,365,29
3244,7,7,9,317,0
32440,6,3,6,334,3
32441,2,2,2,5,0
32442,12,12,19,64,0
32443,1,1,1,2,
32444,4,3,4,65,1
32445,16,13,21,293,3
32446,5,4,9,174,1
32447,8,3,8,215,5
32448,1,1,1,84,
32449,9,6,9,268,3
3245,5,3,5,75,2
32450,2,2,2,50,0
32451,10,3,11,206,7
32452,3,3,3,82,0
32453,6,5,6,357,1
32454,1,1,2,2,
32455,1,1,1,20,
32456,8,8,9,236,0
32457,14,9,15,348,5
32458,12,9,25,332,3
32459,4,4,4,348,0
3246,3,2,5,53,1
32460,2,1,2,13,1
32461,9,2,11,356,7
32462,2,2,2,170,0
32463,2,1,2,69,1
32464,3,3,4,317,0
32465,16,9,18,256,7
32466,3,2,3,192,1
32467,7,6,10,308,1
32468,2,2,3,66,0
32469,3,2,3,319,1
3247,1,1,1,44,
32470,2,2,5,20,0
32471,1,1,1,38,
32472,10,6,17,228,4
32473,4,4,5,108,0
32474,1,1,1,15,
32475,5,2,5,115,3
32476,12,8,21,201,4
32477,18,4,23,355,14
32478,1,1,3,39,
32479,1,1,1,82,
3248,2,2,2,2,0
32480,3,3,3,135,0
32481,13,10,15,192,3
32482,20,12,32,339,8
32483,5,3,7,117,2
32484,1,1,1,30,
32485,1,1,1,38,
32486,25,12,36,365,13
32487,14,10,15,119,4
32488,11,6,32,279,5
32489,4,4,4,203,0
3249,20,15,22,303,5
32490,44,9,73,311,35
32491,5,3,9,317,2
32492,2,2,4,14,0
32493,15,12,22,351,3
32494,2,2,2,85,0
32495,4,3,7,35,1
32496,1,1,4,47,
32497,1,1,1,17,
32498,17,10,20,195,7
32499,1,1,2,62,
325,1,1,1,14,
3250,14,10,18,355,4
32500,1,1,1,67,
32501,5,2,5,237,3
32502,3,3,4,140,0
32503,1,1,1,6,
32504,1,1,1,47,
32505,7,4,7,342,3
32506,35,15,50,292,20
32507,3,3,4,173,0
32508,1,1,1,20,
32509,22,15,38,284,7
3251,2,2,2,74,0
32510,1,1,1,45,
32511,3,3,3,299,0
32512,2,2,6,12,0
32513,7,5,7,186,2
32514,12,6,13,299,6
32515,7,4,13,197,3
32516,12,7,26,360,5
32517,16,11,17,357,5
32518,4,3,4,198,1
32519,3,3,4,11,0
3252,1,1,1,11,
32520,11,10,13,331,1
32521,6,4,13,331,2
32522,3,2,5,80,1
32523,2,1,4,58,1
32524,12,3,19,319,9
32525,3,3,3,34,0
32526,9,9,11,125,0
32527,20,11,32,325,9
32528,2,2,8,61,0
32529,1,1,2,75,
3253,8,4,18,305,4
32530,19,9,34,348,10
32531,3,3,3,311,0
32532,2,1,2,23,1
32533,2,2,2,40,0
32534,2,2,3,41,0
32535,19,8,25,358,11
32536,18,15,22,335,3
32537,1,1,1,45,
32538,1,1,1,46,
32539,10,4,16,349,6
3254,2,2,4,26,0
32540,6,4,7,150,2
32541,19,10,29,365,9
32542,5,4,6,316,1
32543,3,2,4,141,1
32544,13,11,16,304,2
32545,12,9,12,358,3
32546,25,11,33,351,14
32547,7,6,9,82,1
32548,5,4,5,153,1
32549,1,1,1,22,
3255,8,5,9,352,3
32550,59,14,88,362,45
32551,1,1,1,81,
32552,13,11,14,210,2
32553,7,4,9,175,3
32554,1,1,1,57,
32555,1,1,1,10,
32556,15,13,25,235,2
32557,1,1,2,54,
32558,3,2,3,164,1
32559,5,5,5,79,0
3256,9,4,13,294,5
32560,14,6,19,358,8
32561,3,2,4,159,1
32562,6,5,11,175,1
32563,4,4,12,339,0
32564,10,8,10,342,2
32565,6,4,11,84,2
32566,3,3,4,37,0
32567,18,7,25,363,11
32568,8,7,8,232,1
32569,4,3,4,155,1
3257,6,2,6,212,4
32570,4,4,8,63,0
32571,9,9,9,118,0
32572,1,1,1,84,
32573,12,5,14,356,7
32574,1,1,2,6,
32575,4,3,5,60,1
32576,2,1,3,179,1
32577,10,5,15,118,5
32578,6,6,8,109,0
32579,23,23,28,315,0
3258,6,2,6,282,4
32580,6,3,6,87,3
32581,5,4,10,317,1
32582,11,9,12,301,2
32583,12,4,13,343,8
32584,15,15,19,340,0
32585,6,2,11,243,4
32586,10,6,11,171,4
32587,3,2,6,49,1
32588,5,2,5,329,3
32589,1,1,1,52,
3259,7,5,7,255,2
32590,2,2,3,84,0
32591,2,1,2,178,1
32592,4,2,4,175,2
32593,10,8,17,54,2
32594,20,10,29,317,10
32595,21,10,21,308,11
32596,19,17,45,365,2
32597,6,1,6,339,5
32598,8,7,16,176,1
32599,7,7,9,165,0
326,19,12,20,344,7
3260,3,3,5,178,0
32600,2,2,3,16,0
32601,2,2,2,29,0
32602,5,4,8,106,1
32603,4,3,7,21,1
32604,1,1,2,24,
32605,1,1,1,10,
32606,19,15,21,308,4
32607,13,7,13,329,6
32608,2,2,2,76,0
32609,16,7,23,220,9
3261,14,12,24,360,2
32610,15,9,19,347,6
32611,1,1,1,50,
32612,22,11,81,135,11
32613,23,3,42,346,20
32614,10,9,11,352,1
32615,1,1,1,66,
32616,1,1,1,52,
32617,7,5,7,194,2
32618,11,7,15,88,4
32619,3,1,4,212,2
3262,3,3,6,144,0
32620,5,3,5,49,2
32621,9,5,17,325,4
32622,3,2,3,74,1
32623,5,5,18,78,0
32624,1,1,1,78,
32625,1,1,2,6,
32626,1,1,8,80,
32627,3,3,3,79,0
32628,11,5,15,173,6
32629,17,12,43,356,5
3263,2,1,2,119,1
32630,5,5,7,28,0
32631,5,3,6,167,2
32632,1,1,1,27,
32633,32,19,48,360,13
32634,4,2,5,73,2
32635,10,6,10,190,4
32636,15,13,24,359,2
32637,31,13,55,361,18
32638,15,12,19,181,3
32639,4,3,4,175,1
3264,1,1,1,51,
32640,24,18,36,351,6
32641,8,7,8,186,1
32642,27,13,42,362,14
32643,1,1,1,28,
32644,2,2,2,119,0
32645,1,1,1,31,
32646,8,8,10,253,0
32647,15,10,22,186,5
32648,8,6,9,347,2
32649,3,3,3,74,0
3265,9,8,18,357,1
32650,14,4,14,337,10
32651,1,1,1,58,
32652,25,12,51,314,13
32653,5,4,5,70,1
32654,3,2,3,172,1
32655,1,1,4,63,
32656,2,2,4,72,0
32657,1,1,1,50,
32658,11,5,19,335,6
32659,5,4,6,159,1
3266,7,5,7,191,2
32660,5,4,5,87,1
32661,19,8,26,299,11
32662,6,6,11,345,0
32663,1,1,1,39,
32664,20,9,23,306,11
32665,1,1,1,8,
32666,14,6,15,335,8
32667,16,3,27,363,13
32668,1,1,1,61,
32669,1,1,4,11,
3267,6,4,6,347,2
32670,9,1,9,338,8
32671,14,9,17,271,5
32672,11,6,12,362,5
32673,6,1,14,350,5
32674,71,24,244,134,47
32675,1,1,1,53,
32676,9,4,9,207,5
32677,6,6,7,284,0
32678,12,11,16,324,1
32679,16,15,17,178,1
3268,3,3,3,59,0
32680,4,2,5,113,2
32681,20,6,21,335,14
32682,8,7,8,281,1
32683,4,4,5,11,0
32684,27,17,37,316,10
32685,1,1,2,20,
32686,1,1,1,5,
32687,3,3,3,26,0
32688,16,9,19,334,7
32689,4,3,13,152,1
3269,18,8,23,330,10
32690,6,3,7,298,3
32691,11,10,15,258,1
32692,3,2,4,173,1
32693,9,4,29,314,5
32694,5,3,6,173,2
32695,2,2,4,23,0
32696,22,13,36,354,9
32697,8,4,14,168,4
32698,13,13,29,339,0
32699,21,10,36,363,11
327,127,87,176,356,40
3270,5,1,5,335,4
32700,1,1,1,76,
32701,27,10,30,329,17
32702,4,4,4,166,0
32703,3,2,3,82,1
32704,1,1,2,84,
32705,7,5,7,191,2
32706,6,2,6,122,4
32707,28,16,34,352,12
32708,4,1,4,303,3
32709,1,1,1,72,
3271,2,1,10,256,1
32710,2,2,3,174,0
32711,1,1,1,5,
32712,6,5,7,321,1
32713,5,2,5,273,3
32714,1,1,1,68,
32715,15,12,19,137,3
32716,4,4,6,128,0
32717,2,2,3,66,0
32718,19,12,22,216,7
32719,2,2,2,44,0
3272,4,3,4,40,1
32720,1,1,1,34,
32721,1,1,1,68,
32722,6,3,9,127,3
32723,12,7,15,277,5
32724,14,7,19,284,7
32725,3,2,3,360,1
32726,1,1,1,53,
32727,4,4,5,53,0
32728,1,1,6,8,
32729,1,1,1,28,
3273,10,4,11,361,6
32730,2,2,2,170,0
32731,1,1,1,4,
32732,16,3,51,353,13
32733,3,3,5,104,0
32734,5,2,5,301,3
32735,6,6,6,334,0
32736,13,7,13,360,6
32737,1,1,1,75,
32738,12,8,21,282,4
32739,11,4,16,146,7
3274,9,8,12,353,1
32740,3,3,3,18,0
32741,1,1,1,82,
32742,1,1,2,21,
32743,7,7,10,267,0
32744,14,2,16,364,12
32745,9,3,11,351,6
32746,3,3,6,187,0
32747,29,21,53,301,8
32748,4,3,6,109,1
32749,5,4,12,202,1
3275,1,1,1,29,
32750,14,8,16,225,6
32751,11,10,17,240,1
32752,1,1,1,81,
32753,13,8,14,276,5
32754,5,4,5,61,1
32755,10,10,13,325,0
32756,1,1,1,20,
32757,2,1,3,67,1
32758,18,7,22,173,11
32759,1,1,1,73,
3276,15,11,34,328,4
32760,3,2,5,136,1
32761,8,5,17,365,3
32762,1,1,1,82,
32763,6,4,8,323,2
32764,2,2,2,113,0
32765,5,5,5,172,0
32766,6,5,6,121,1
32767,2,1,2,152,1
32768,9,5,13,337,4
32769,1,1,1,60,
3277,2,2,2,139,0
32770,1,1,1,57,
32771,6,3,10,266,3
32772,15,8,19,323,7
32773,15,5,16,357,10
32774,2,2,2,64,0
32775,2,1,2,117,1
32776,5,4,24,317,1
32777,31,6,34,358,25
32778,10,5,11,356,5
32779,13,12,14,356,1
3278,8,6,8,206,2
32780,18,10,18,317,8
32781,32,8,52,286,24
32782,7,6,8,230,1
32783,2,2,5,59,0
32784,22,10,29,270,12
32785,4,4,4,354,0
32786,1,1,1,6,
32787,3,2,3,90,1
32788,1,1,1,47,
32789,1,1,1,43,
3279,19,17,37,350,2
32790,4,4,6,22,0
32791,4,4,4,77,0
32792,10,9,15,317,1
32793,17,7,40,318,10
32794,9,5,11,294,4
32795,17,7,62,328,10
32796,1,1,1,55,
32797,2,2,2,83,0
32798,3,3,3,132,0
32799,2,1,2,358,1
328,1,1,1,22,
3280,32,21,64,335,11
32800,11,6,11,364,5
32801,1,1,1,2,
32802,6,3,6,237,3
32803,2,2,3,144,0
32804,2,2,2,202,0
32805,4,4,4,49,0
32806,5,4,15,125,1
32807,5,3,5,254,2
32808,4,2,4,258,2
32809,8,4,13,339,4
3281,5,4,8,260,1
32810,23,9,32,353,14
32811,13,2,15,208,11
32812,21,5,41,364,16
32813,3,2,3,208,1
32814,2,1,2,134,1
32815,2,2,2,101,0
32816,17,8,19,362,9
32817,8,2,14,190,6
32818,6,5,6,115,1
32819,11,6,15,321,5
3282,1,1,1,18,
32820,3,2,3,119,1
32821,32,23,42,332,9
32822,4,4,5,38,0
32823,2,2,2,76,0
32824,6,3,6,206,3
32825,5,4,5,208,1
32826,1,1,1,2,
32827,8,4,8,236,4
32828,1,1,1,25,
32829,1,1,1,66,
3283,4,3,6,99,1
32830,9,6,15,230,3
32831,11,7,12,334,4
32832,31,22,42,346,9
32833,2,2,3,71,0
32834,2,2,2,145,0
32835,1,1,1,11,
32836,15,9,18,356,6
32837,3,2,3,69,1
32838,1,1,1,67,
32839,3,2,3,172,1
3284,15,5,24,358,10
32840,18,14,19,182,4
32841,17,7,20,227,10
32842,12,8,20,229,4
32843,1,1,1,25,
32844,3,3,3,181,0
32845,12,7,18,326,5
32846,10,9,13,185,1
32847,11,8,11,315,3
32848,1,1,1,6,
32849,3,3,3,60,0
3285,5,4,8,170,1
32850,9,6,11,327,3
32851,10,1,10,351,9
32852,3,2,3,324,1
32853,2,2,2,71,0
32854,4,2,4,192,2
32855,6,3,12,151,3
32856,6,6,9,321,0
32857,1,1,1,32,
32858,12,11,16,353,1
32859,1,1,1,51,
3286,11,8,11,353,3
32860,10,8,15,219,2
32861,11,6,11,317,5
32862,18,5,19,338,13
32863,3,2,4,106,1
32864,15,6,20,303,9
32865,1,1,1,11,
32866,2,2,3,100,0
32867,7,4,7,252,3
32868,1,1,2,82,
32869,7,5,9,118,2
3287,14,13,15,357,1
32870,6,4,12,176,2
32871,1,1,2,10,
32872,9,6,11,319,3
32873,9,9,13,339,0
32874,1,1,1,10,
32875,15,7,31,323,8
32876,4,1,4,147,3
32877,14,5,36,344,9
32878,3,1,4,136,2
32879,12,9,13,317,3
3288,3,3,3,345,0
32880,3,3,3,102,0
32881,12,5,23,298,7
32882,5,2,8,355,3
32883,6,5,6,167,1
32884,5,4,7,128,1
32885,5,5,8,359,0
32886,24,15,26,353,9
32887,4,4,7,248,0
32888,6,6,10,145,0
32889,3,3,3,57,0
3289,7,6,21,171,1
32890,1,1,6,26,
32891,16,16,18,330,0
32892,3,3,7,181,0
32893,25,8,29,342,17
32894,5,5,5,352,0
32895,9,5,15,153,4
32896,5,5,9,244,0
32897,2,2,3,100,0
32898,2,2,2,193,0
32899,8,7,9,315,1
329,5,5,7,81,0
3290,2,2,4,97,0
32900,18,7,18,347,11
32901,4,3,5,243,1
32902,1,1,1,12,
32903,9,5,9,354,4
32904,1,1,1,70,
32905,7,4,8,223,3
32906,1,1,1,7,
32907,1,1,1,16,
32908,6,6,6,178,0
32909,38,18,49,357,20
3291,19,13,27,353,6
32910,7,6,7,317,1
32911,11,8,12,323,3
32912,2,2,3,92,0
32913,12,9,24,166,3
32914,5,5,7,131,0
32915,1,1,1,39,
32916,1,1,2,32,
32917,17,11,25,353,6
32918,2,1,3,61,1
32919,5,3,6,364,2
3292,5,4,7,83,1
32920,7,5,9,140,2
32921,11,9,14,144,2
32922,3,2,3,188,1
32923,6,6,6,185,0
32924,18,15,25,130,3
32925,19,6,50,357,13
32926,11,6,15,344,5
32927,12,6,12,171,6
32928,3,3,3,43,0
32929,4,2,7,361,2
3293,2,2,2,66,0
32930,4,1,8,147,3
32931,24,11,27,222,13
32932,1,1,2,62,
32933,4,4,4,273,0
32934,4,1,4,147,3
32935,5,4,11,177,1
32936,10,8,12,322,2
32937,9,5,21,210,4
32938,6,5,7,136,1
32939,11,5,19,187,6
3294,13,10,22,171,3
32940,7,7,8,184,0
32941,4,3,10,204,1
32942,2,2,2,108,0
32943,18,6,24,364,12
32944,14,12,14,326,2
32945,1,1,1,6,
32946,14,11,14,281,3
32947,3,2,3,183,1
32948,3,2,3,77,1
32949,11,1,16,252,10
3295,3,3,3,219,0
32950,4,3,10,175,1
32951,6,2,6,167,4
32952,2,1,3,40,1
32953,1,1,1,59,
32954,2,2,2,136,0
32955,2,1,2,46,1
32956,6,4,6,178,2
32957,13,12,14,332,1
32958,10,6,14,343,4
32959,1,1,1,30,
3296,3,2,3,37,1
32960,14,8,15,264,6
32961,4,4,4,165,0
32962,11,8,12,262,3
32963,3,1,16,39,2
32964,3,3,3,238,0
32965,20,17,33,265,3
32966,7,2,13,62,5
32967,12,10,20,95,2
32968,7,5,7,173,2
32969,14,9,21,333,5
3297,2,2,2,74,0
32970,9,9,12,185,0
32971,1,1,1,10,
32972,15,13,18,292,2
32973,3,2,3,125,1
32974,1,1,1,81,
32975,14,9,21,360,5
32976,1,1,1,5,
32977,1,1,1,12,
32978,1,1,1,47,
32979,4,3,4,350,1
3298,12,6,12,356,6
32980,4,4,4,122,0
32981,7,6,11,196,1
