用户id,差评,好评,中评
18410,,10,
18412,,1,
18414,,16,
18417,,7,
18420,,2,
18421,,8,
18424,,2,
18428,,,1
18430,,9,
18431,,19,
18433,,4,
18436,,1,
18437,,1,
18438,,7,
18440,,1,
18444,,5,
18447,,6,
18451,,5,
18459,,1,
18460,,7,
18462,,6,
18463,,7,
18465,,1,
18471,,5,
18474,,12,
18476,,3,
18480,,3,
18482,,5,
18485,,17,
18488,,37,
18492,,5,
18493,,1,
18499,,1,
18503,,1,
18504,,17,
18507,,9,
18510,,1,
18517,,1,
18518,,2,
18519,,,1
18521,,15,
18522,,1,
18526,,3,
18527,,3,
18530,,1,
18533,,3,
18534,,1,
18538,,2,
18539,,18,
18540,,14,
18541,,1,
18543,,3,
18545,,4,
18547,,21,
18550,,1,
18553,,1,
18556,,1,
18557,,4,
18561,,,3
18562,,8,
18564,,5,
18567,,6,
18568,,2,
18569,,2,
18572,,5,
18573,,1,
18577,,1,
18578,,8,
18582,,2,
18587,,2,
18592,,7,
18593,,1,
18594,,1,
18595,,5,
18600,,6,
18604,1,3,4
18608,,1,
18609,,5,
18610,,2,
18612,,1,
18613,,3,
18614,,1,
18624,,4,
18626,,4,
18629,,9,
18636,,4,
18637,,4,
18639,,2,
18641,,15,
18643,,14,
18644,,1,
18645,,5,
18646,,1,
18647,,12,1
18654,,2,
18657,,1,
18659,1,2,1
18660,,13,2
18662,,1,
18663,,79,
18664,,4,
18667,,1,
18669,,2,
18673,,4,
18675,,8,
18679,,26,
18680,,3,
18681,,1,
18683,,26,
18684,,6,
18685,,1,
18686,,6,
18687,,2,
18691,,3,
18696,,21,
18697,,1,
18698,,1,
18701,1,5,
18702,,19,
18703,,1,
18704,,3,
18709,,3,
18710,,5,
18711,,4,
18716,1,8,
18717,,1,
18718,,14,
18719,,6,
18720,,1,
18722,,3,
18725,,4,
18730,,6,
18733,,4,
18736,,5,
18738,,5,
18739,,4,
18740,,1,
18745,,3,
18747,,1,
18748,1,,
18752,,7,
18754,,1,
18768,,1,
18771,,2,
18779,,2,
18782,,5,
18785,,1,
18786,,7,
18791,,1,
18793,,4,
18795,,1,
18796,,5,
18799,,1,
18801,,3,
18804,,2,
18806,,1,
18807,,1,
18808,,5,2
18810,,1,
18811,,2,
18813,,2,
18814,,4,
18817,,2,
18819,,3,
18821,,7,
18822,,2,
18823,,2,
18824,1,,1
18825,1,3,
18829,,2,
18830,,4,
18834,,20,
18835,,3,
18836,,4,
18838,,21,
18841,,1,
18845,,1,
18846,,14,
18849,,2,
18852,,1,
18854,,3,
18855,,1,
18857,,52,
18858,,3,
18860,,20,
18863,,12,3
18866,,4,
18869,,10,
18871,,12,
18872,,1,
18874,,26,
18875,,14,
18876,,2,
18885,,4,
18887,,,1
18889,,5,
18890,,2,
18892,,7,
18896,,1,
18897,,8,
18898,,1,
18901,,1,
18905,,12,
18907,,1,
18911,,3,
18915,,1,
18916,,3,
18917,,2,
18923,,7,
18927,,14,
18928,,2,
18932,,10,
18933,,2,
18934,,2,
18935,,1,
18937,,19,
18938,,5,
18941,,6,
18947,,6,
18948,,5,
18949,,1,
18950,,18,
18958,,6,
18959,,,1
18966,,19,
18968,,1,
18970,,9,
18971,,1,
18972,,4,
18975,,1,
18977,,12,
18980,,3,
18982,,1,
18986,,7,
18988,,2,
18989,,6,
18991,,10,
18995,,12,
18996,1,6,
18997,1,1,
18998,,1,
18999,,3,
19000,,5,
19001,3,11,4
19002,,1,
19003,,2,
19004,,2,
19005,3,1,
19006,,5,
19007,,2,
19008,,1,
19009,,3,
19011,,3,
19015,,1,1
19016,,9,
19024,,1,
19029,,6,
19034,,4,
19037,,6,
19038,1,4,
19042,,1,
19044,,1,
19045,,6,
19046,,6,
19048,,3,
19054,,9,
19055,,1,
19056,,3,
19057,,1,
19061,,11,
19063,,35,
19064,,23,
19065,,4,
19068,,1,
19069,,2,
19070,,2,
19075,,1,
19076,,12,
19077,,1,
19083,,3,
19086,,5,
19089,,1,
19092,,5,
19093,,15,
19094,,7,
19097,,7,
19099,,2,
19101,,2,
19103,,7,
19108,,7,
19115,,3,
19117,,4,
19118,,17,
19120,,1,
19123,,1,
19125,,1,
19127,,1,
19128,,1,
19129,,1,
19131,,7,
19137,,14,
19141,1,,
19142,,6,
19148,,8,1
19151,,3,
19155,,4,
19156,,3,
19157,,8,
19162,,3,
19163,,1,
19164,,55,
19165,,2,
19168,,5,
19169,,2,
19174,,2,
19175,,2,
19181,,9,
19183,,11,
19186,,2,
19194,,2,
19199,,2,
19200,,5,
19201,,2,
19202,,3,
19206,,3,
19207,,3,
19208,,7,
19209,,8,1
19214,,2,1
19217,,3,
19222,,1,
19224,,1,
19225,,8,
19226,,7,
19230,,4,
19236,1,10,
19237,,11,
19238,,1,
19239,,1,
19242,,2,
19243,,10,
19245,,1,
19247,,6,1
19250,,1,
19254,,1,
19255,,68,
19258,,26,
19261,,1,
19262,,10,
19263,,2,
19264,,2,
19267,,12,
19268,,3,
19274,,12,
19277,,1,
19280,,1,
19283,,1,
19286,,11,
19287,,10,
19289,,3,
19293,,3,
19296,,1,
19297,,4,
19298,,2,
19299,,6,
19300,,3,
19301,,8,
19302,,7,
19303,,1,
19309,,4,
19312,,4,
19315,,4,
19318,,3,
19319,,1,
19320,,9,
19321,,14,
19323,,1,
19326,,2,
19328,,1,
19333,,4,
19334,,23,
19335,,1,
19336,,8,
19338,,8,
19340,,3,
19341,,1,2
19342,,6,
19347,,6,
19348,,10,
19349,,13,
19350,,2,
19351,,4,2
19352,,1,
19353,,2,
19354,,5,
19355,,2,
19358,,2,
19360,,8,
19362,,2,
19364,,7,
19366,,5,
19367,,1,
19368,,3,
19373,,51,
19374,1,17,
19375,,2,
19390,,3,1
19391,,6,
19392,,16,
19393,,1,
19399,,3,
19401,,2,
19404,,5,
19411,,4,
19415,,8,
19422,,6,
19423,,2,
19426,,9,
19429,,7,
19430,,4,
19434,,3,1
19436,,5,
19437,,3,
19438,,1,
19440,,1,
19443,,6,
19444,,1,
19447,,5,
19448,,,1
19449,1,10,3
19450,,1,
19451,,14,
19454,,9,
19455,,10,
19456,,1,
19457,,2,
19458,,5,
19464,,3,
19467,,2,
19469,1,,
19471,,1,
19472,,12,
19473,,7,
19476,,4,
19478,,3,
19480,,2,
19481,1,1,
19482,,8,
19486,,10,
19487,,7,
19488,,8,
19489,,8,
19490,,5,
19496,,7,
19497,,3,
19501,,1,
19502,,2,1
19503,,4,
19505,,1,
19510,,12,
19511,,3,
19513,,1,
19514,,1,
19515,,2,
19517,,2,
19520,,1,
19523,,4,
19525,,3,
19527,,3,
19528,,2,
19534,,1,
19538,,2,
19540,,7,
19543,,1,
19549,,2,
19550,,1,
19551,2,4,1
19553,,3,
19555,,3,
19557,,3,2
19558,,1,
19561,,5,
19564,,9,
19565,,4,
19569,,5,
19570,,1,
19574,,2,
19576,,1,
19577,,,1
19580,,6,
19585,,6,
19587,,1,
19590,,1,
19593,,1,
19596,,3,
19597,,10,1
19598,,1,
19599,,7,
19600,,4,
19601,,2,
19604,,1,
19606,,2,2
19607,,2,
19610,,5,
19611,,1,
19613,,2,
19616,,13,
19618,,10,
19620,,7,
19622,,16,
19627,,7,
19628,,25,
19629,,1,
19630,,1,
19635,1,,
19636,,3,
19639,,1,
19643,1,1,
19647,,6,
19649,,4,
19651,,4,
19652,1,9,
19654,,1,
19656,,13,
19659,,3,
19663,,3,
19665,,1,
19666,,9,
19667,,1,
19668,,7,
19671,,,1
19672,,1,
19673,,4,
19674,10,24,
19680,,6,
19682,,10,
19683,,3,
19684,,2,
19687,,2,
19691,,3,
19692,,1,
19693,,1,
19695,,7,
19697,,2,
19698,,1,
19699,,8,
19705,,2,
19706,,15,
19707,,18,
19708,,17,
19709,,6,
19710,,2,
19711,,3,
19712,,16,
19722,,1,
19723,,4,
19725,,12,
19727,,2,
19728,,1,
19729,,7,
19731,,9,
19732,,1,
19739,,13,
19740,,1,
19741,,3,
19742,,9,
19744,,2,
19745,,3,
19746,,2,
19747,,3,
19751,,1,
19755,,4,
19756,,6,
19757,,1,
19758,,2,
19759,,8,
19762,,8,
19763,,3,
19765,,4,
19771,,2,
19775,,12,
19776,,3,
19778,,8,
19779,,8,
19780,,2,
19781,,2,
19782,,2,
19789,,6,
19790,,1,
19791,,1,
19793,,1,
19798,,2,
19799,,25,
19800,,6,
19803,,7,
19809,,1,
19810,,14,
19814,,11,
19815,,2,
19816,,3,
19817,,1,
19818,,10,
19820,,30,
19829,,2,
19835,,28,
19838,,5,
19839,,2,
19842,,13,
19843,,21,1
19848,,13,
19852,,5,
19854,,1,
19856,,1,1
19859,,2,
19863,,4,
19864,,10,
19865,,6,
19868,,11,
19869,,2,
19872,,2,
19875,,1,
19876,,3,
19877,,9,
19879,,4,
19880,,4,
19881,,3,
19882,,1,
19883,,4,
19886,,1,
19890,,3,
19893,,2,
19894,,9,
19895,,3,
19899,,2,
19901,,1,
19903,,3,
19904,,1,
19909,,1,
19910,,1,
19915,,2,
19916,,17,
19917,,3,
19918,,4,
19920,,2,
19923,,1,
19924,1,8,2
19925,1,22,
19926,,3,
19929,,4,
19931,,1,
19932,,8,
19933,,1,1
19940,,1,
19941,1,2,
19945,1,1,
19946,,4,
19948,,9,
19957,,4,
19959,,3,
19962,,5,
19968,,3,
19969,,1,
19971,,10,
19973,,2,
19974,,12,
19975,,7,
19976,1,38,
19978,1,,
19979,,8,
19981,,3,
19983,,24,
19988,,3,
19989,1,17,
19990,,1,
19994,,5,
19995,,1,
19996,,1,
19998,,1,
20000,1,9,1
20001,,1,
20005,,10,
20007,,2,
20008,,13,
20010,,1,
20011,,6,
20012,,7,
20013,,17,
20014,,9,
20015,,5,
20018,,1,1
20019,,10,
20020,,13,
20022,,14,
20023,,8,
20024,,1,
20026,,6,
20032,,3,
20034,,1,
20035,,2,
20037,,14,
20041,,1,
20042,,7,
20043,,2,
20044,,1,
20045,,11,1
20046,,2,
20047,,5,
20050,,3,
20051,,6,
20052,,54,
20055,,8,
20056,,4,
20060,,1,
20068,,3,1
20070,,9,1
20075,,2,
20079,,5,2
20080,,2,
20081,,2,
20086,,6,
20088,,25,
20091,,2,
20094,,19,
20098,,1,
20099,,1,
20100,,1,
20104,,5,
20116,,13,
20121,,3,
20124,,7,
20134,,2,
20136,,3,
20139,1,1,1
20140,,4,
20142,,4,
20143,,5,
20145,,1,
20146,,8,
20148,,2,
20154,,12,2
20156,,2,
20163,,2,1
20164,,2,
20165,,1,
20167,,2,
20169,,2,
20170,,3,
20172,,1,
20173,,1,1
20174,,7,
20176,,6,
20177,,3,
20178,,4,
20182,,2,
20183,,2,
20184,,10,
20185,,6,
20186,,15,1
20187,,5,
20194,,1,
20199,,1,
20204,,4,
20210,,1,
20218,,3,
20221,,15,
20222,,20,
20226,,1,
20227,,1,
20228,,2,
20229,,1,
20230,,1,
20232,,1,
20236,,2,
20237,,1,
20239,2,13,
20241,,1,
20243,,3,
20245,,1,
20248,,3,1
20249,,3,
20254,,,1
20255,,18,
20257,,14,
20259,,1,
20261,,1,
20262,,1,
20264,,9,
20265,,2,
20267,,2,
20270,,5,
20275,,1,
20278,,6,
20279,,1,
20280,,3,
20281,,2,
20284,,1,
20288,,13,
20290,,1,
20291,,1,
20292,,2,
20299,1,,
20300,,5,
20302,,20,
20304,,1,
20305,,1,
20308,,1,
20309,,2,
20315,,1,
20318,,1,
20321,,1,
20322,,2,
20323,,3,
20325,,10,
20326,,1,
20330,,3,
20331,,18,
20332,,1,
20334,,14,
20337,,1,
20347,,1,
20354,,3,2
20356,,11,
20359,,4,
20362,,9,
20363,,2,
20364,,4,
20367,,11,1
20371,,1,
20372,,10,
20377,1,,
20378,,2,
20379,,,1
20380,,18,
20382,,1,
20383,,13,
20384,,1,
20390,,1,
20391,,1,
20395,,20,
20396,,1,
20397,,11,
20399,,8,
20401,,1,
20402,4,2,
20403,,7,
20405,1,11,
20411,,4,
20413,,1,
20420,,3,
20423,,9,
20426,,2,
20427,,7,
20438,,4,
20441,,3,
20442,1,1,
20443,,4,
20447,,6,
20448,1,17,
20454,,13,
20456,,1,
20457,,1,
20463,,5,
20466,,2,
20473,,6,
20476,1,6,
20478,,23,
20479,,1,
20481,1,,
20482,,5,
20485,,2,
20486,,6,
20487,,24,
20491,,1,
20492,4,1,
20498,,8,
20500,,6,
20501,,7,
20502,,3,
20504,,3,
20506,,1,
20508,,5,
20511,,1,
20513,,4,
20514,,1,
20515,,3,
20516,,1,
20517,,21,
20521,,1,
20522,,1,
20526,,13,
20527,,21,
20528,,2,
20530,1,20,
20533,,2,
20536,,7,
20539,,6,
20540,,2,
20543,,10,
20550,,2,
20551,,1,
20554,,35,
20555,,8,
20558,1,,
20559,,7,
20562,,1,
20563,,1,
20565,,1,
20570,,2,
20573,,5,
20574,,3,
20575,,1,
20577,,1,
20580,,6,
20581,1,8,
20584,,6,
20588,2,1,
20591,,4,
20592,,4,
20594,,4,
20595,,1,
20596,,3,
20597,,2,
20599,,24,
20601,,20,
20604,,1,
20605,,3,
20606,,1,
20611,,2,
20613,,2,
20614,,10,
20617,,2,
20620,,1,
20622,,12,
20623,,6,
20625,,27,
20631,,2,
20632,,1,1
20635,,1,
20638,2,5,1
20640,,1,
20641,,1,
20643,,6,
20644,,1,
20647,,1,
20648,,5,
20650,,2,
20651,,3,
20653,,2,
20654,,6,
20655,,9,
20656,,5,
20657,,1,
20658,,5,
20659,,1,
20660,,1,
20665,,2,
20668,,13,
20670,,2,
20671,,4,
20673,,1,
20676,,1,
20677,,4,
20681,,46,
20683,,15,
20687,,6,
20689,,4,3
20697,,1,
20704,,3,
20708,,1,
20711,,1,
20712,,5,
20718,,29,
20721,,1,
20722,,1,
20724,,1,
20726,,2,
20727,1,,
20729,,2,
20731,,2,
20732,,6,
20733,,2,
20734,,2,
20737,,3,
20744,,13,
20746,,3,
20747,,21,
20749,,2,
20750,,1,
20753,,10,
20761,,1,
20772,,2,
20773,,1,
20774,,10,
20775,,4,
20776,,1,
20777,,3,
20781,,4,
20785,,17,
20791,,17,
20793,,2,
20794,,1,
20797,,1,
20799,,1,
20801,,7,
20803,,6,
20805,,7,
20808,,2,
20809,,4,
20811,,2,
20815,,5,
20818,,5,
20819,,1,
20822,,41,1
20823,,3,
20825,,2,
20827,,7,
20829,,8,
20830,,49,
20831,,3,
20833,,5,
20839,2,4,
20841,,1,
20842,,13,
20846,,9,
20848,,1,
20849,,,1
20854,,13,
20855,,2,
20856,,1,
20857,,2,
20858,,8,
20862,,2,
20863,,3,
20870,,6,
20873,1,1,
20878,,9,
20879,,1,
20883,,1,
20885,,1,
20888,,1,
20889,,3,
20892,,2,
20893,,1,
20895,,3,
20897,,2,
20902,,2,
20903,,2,
20905,,1,
20906,,2,
20910,,4,
20915,1,7,
20918,,1,
20922,,11,
20925,,1,
20932,,1,
20938,,6,
20939,,3,
20940,,5,
20941,,7,
20943,3,3,4
20944,,2,
20946,,1,
20950,,3,
20953,,14,
20954,,2,
20956,,4,
20957,,2,
20960,,7,
20964,,4,
20965,,2,
20966,,3,
20975,,1,
20976,,1,
20977,,2,
20978,,17,
20981,,1,
20983,1,,
20987,,1,
20988,,1,
20993,1,9,
20997,,2,
21000,,9,
21002,1,,
21005,,8,
21009,,2,
21011,,41,
21012,,,1
21013,,3,
21028,,10,1
21032,,7,
21033,,8,
21035,,5,
21037,,5,
21041,,1,
21045,,6,
21047,,7,
21048,1,2,
21051,,2,
21052,,1,
21053,,7,
21059,,1,
21062,,2,
21065,,3,
21075,,3,
21076,,8,
21084,,2,
21085,,3,
21086,,4,
21088,,3,
21089,,1,
21092,,3,
21096,1,4,
21101,,16,
21105,,1,
21106,,1,
21107,,1,
21110,,1,
21111,,2,
21112,,9,
21116,,37,
21119,,2,
21120,,2,
21122,,6,
21124,,18,
21126,,1,
21127,,8,
21128,,5,
21130,,2,
21132,,1,
21133,,1,
21134,,3,
21136,,4,
21137,,1,
21138,,6,
21139,,13,
21142,,1,
21149,1,9,
21150,,18,
21151,,2,
21159,,13,
21161,,1,
21166,,2,
21169,,4,
21171,,1,
21176,,6,
21177,1,28,1
21178,,2,
21182,,1,
21191,,1,
21193,,4,1
21194,,3,
21198,,1,
21204,,21,
21206,,1,
21207,,10,
21208,,16,
21210,,4,
21211,,1,
21214,,3,
21217,,2,
21222,,3,
21225,,2,
21227,,13,
21230,,2,
21233,,2,
21235,,1,
21236,,8,
21238,1,5,
21241,1,8,1
21246,,4,
21247,,4,
21248,1,2,
21249,,4,
21252,,3,
21253,,14,
21257,,4,
21264,,5,
21265,,2,
21266,,6,
21267,,3,
21268,,3,
21269,,1,
21270,1,,
21272,,3,
21273,,5,
21278,,5,
21279,,1,
21281,,5,
21285,,1,
21287,,1,
21288,,1,
21289,,26,
21292,,1,
21294,,48,
21299,,3,
21301,,3,
21303,,9,
21305,,26,
21306,,1,
21307,,2,
21314,,4,
21316,,1,
21323,1,,
21324,,13,
21328,1,,
21329,1,,
21330,,6,
21332,,3,
21334,,13,
21337,,1,
21339,,1,
21345,1,17,
21347,,5,
21348,,1,
21351,,2,
21352,,1,
21354,,9,
21355,,1,
21358,,1,
21360,,2,
21361,,2,
21362,,1,
21363,,2,
21365,,2,
21366,,2,
21367,,,3
21369,,10,
21370,,6,
21373,,1,
21374,1,12,
21378,,1,
21379,,4,
21381,,1,
21383,,1,
21384,,1,
21386,,2,
21387,,1,
21389,,1,
21390,1,,
21392,,7,
21393,,1,
21394,,,1
21401,,9,
21403,,3,
21404,,1,
21406,,6,
21407,,18,
21410,,1,
21414,,2,
21417,1,2,
21420,,2,
21421,,4,
21422,,10,
21429,,1,
21430,,1,
21432,,2,
21434,,5,
21437,,19,
21438,,2,
21441,,4,
21443,,3,
21445,,8,
21446,,1,
21447,,4,
21449,,1,
21450,,8,
21451,,1,
21452,,3,
21456,,6,
21460,,7,
21461,,1,1
21463,,2,
21467,1,1,
21469,,4,
21471,,4,
21473,,1,
21475,,1,
21481,,7,1
21483,,2,
21484,,2,
21485,,3,3
21490,,2,
21491,,1,
21494,,1,
21496,,3,
21502,,1,
21505,,4,
21506,,10,
21507,,1,
21508,,16,
21512,,1,
21514,,1,
21516,,6,
21518,,3,
21521,,3,
21522,,11,
21525,,1,
21529,,18,
21530,,6,
21534,,4,
21535,,22,1
21536,,5,
21537,,7,
21538,1,4,
21539,,3,
21542,,,1
21546,,2,
21548,1,,
21549,,4,
21550,,3,
21551,,15,
21552,,3,
21553,,7,
21554,,1,
21557,,7,
21559,,2,
21560,1,22,10
21561,,7,
21566,,1,
21567,,1,1
21569,,1,
21572,,4,
21573,1,14,
21575,,1,
21578,,4,
21579,,9,
21580,,1,
21581,,4,
21583,,3,
21584,,1,
21585,,4,
21588,1,,
21591,,2,
21592,,6,
21595,,6,
21596,,1,
21597,,1,
21598,,18,
21599,,4,
21600,,2,1
21601,,3,
21603,,1,
21604,,2,
21606,,1,
21607,,5,
21608,,7,
21611,,1,
21613,,4,
21616,,4,
21617,,2,
21618,,1,
21619,,12,
21620,,8,
21622,,6,
21625,,3,
21627,,8,
21629,,20,
21631,1,,
21639,,7,
21640,,7,1
21641,,2,
21646,,1,
21649,,2,
21653,,3,
21655,,22,1
21656,,1,
21657,,1,
21660,,8,
21664,,7,
21665,,1,
21668,,,1
21669,,8,
21675,,4,
21677,,7,
21678,,16,
21679,,1,
21684,,3,
21686,,1,
21688,,3,
21689,,4,
21691,,2,
21692,,4,
21693,,6,
21694,,2,1
21695,,4,
21696,,5,
21704,,1,
21705,,1,
21708,,2,
21710,,1,
21713,,14,
21716,,1,
21718,,18,
21722,,22,
21724,,1,
21728,,2,
21733,,14,
21736,,,1
21737,,8,
21738,,2,
21741,,12,
21742,,6,
21743,,9,
21749,,1,
21751,,1,
21752,,16,
21754,1,,
21763,,3,
21764,,3,
21765,,1,
21766,,1,
21768,,1,
21769,,2,
21770,,7,1
21773,,7,
21782,,7,
21786,,2,
21787,,16,
21789,,6,
21793,,4,
21796,,3,
21797,,1,
21799,,1,
21802,,2,
21803,,6,
21804,,1,
21807,,14,
21808,,5,
21812,,3,
21814,,3,
21816,1,,
21817,,10,
21818,,1,
21820,,1,
21821,,2,
21823,,10,
21824,,28,
21827,,5,
21832,,1,
21833,,2,
21834,,1,
21835,,1,
21839,,2,
21843,1,2,
21844,,4,
21846,2,,3
21851,,2,
21852,,7,
21856,,21,
21857,,1,
21860,,2,
21861,,4,
21862,,4,
21863,,1,
21866,,3,
21867,,4,
21869,,8,
21870,,6,
21874,,12,
21875,,2,
21880,,8,
21881,,6,
21885,,3,
21887,,15,
21891,,2,
21892,,1,
21893,,9,
21897,1,,
21901,,2,
21905,,6,
21907,,9,
21909,,1,
21911,,1,
21913,,1,
21914,,1,
21915,,1,
21916,,2,
21918,,10,
21920,,1,
21921,,1,
21922,1,,
21923,,9,
21925,,3,
21927,,3,
21931,,4,
21934,,19,1
21935,,3,
21937,,2,
21939,,7,
21940,,2,
21941,,3,
21942,,6,1
21943,,7,
21948,,2,
21949,,1,
21951,,7,
21953,,1,
21957,,13,
21962,,1,
21963,,4,
21965,,4,
21966,,1,
21969,,2,
21970,,2,
21973,,15,
21979,,2,
21984,,1,
21988,,3,
21989,,10,
21990,,2,
21991,,6,
21992,,9,
21993,,6,
21994,,8,
21998,,1,
21999,,1,
22003,,6,
22004,,14,
22005,,1,
22009,,3,
22010,1,6,
22011,,5,
22014,,1,
22016,1,14,
22017,,2,
22019,,2,
22022,,25,
22023,,1,
22024,,2,
22027,,3,
22032,2,2,
22034,,2,
22036,,6,
22040,,3,
22041,,5,
22044,,12,
22045,,1,
22049,,1,
22051,,16,
22055,,1,
22056,,1,2
22059,,4,
22063,,17,
22069,,7,
22072,,1,
22075,,2,
22078,,1,
22086,,11,
22090,,1,
22091,,3,
22092,,17,
22093,1,7,
22094,1,1,
22095,,25,
22096,2,,
22099,,2,
22100,,1,
22101,,7,
22104,,8,
22109,,,1
22110,3,4,
22114,,2,
22117,,1,
22118,,1,
22122,,2,
22123,,5,
22126,1,2,
22127,,4,
22129,,3,
22130,,7,
22131,,2,
22133,,1,
22137,,2,
22141,,2,
22142,,2,
22147,,1,
22150,,3,
22153,,1,1
22155,,,1
22157,,2,
22158,,14,
22163,,22,
22164,,13,
22165,,1,
22166,,3,
22167,,6,
22168,,3,
22169,,3,
22170,,10,
22171,,1,
22172,,4,
22173,,3,
22177,,4,
22178,,1,
22179,,3,
22180,,1,
22182,,5,
22185,1,,
22187,,2,
22189,,4,
22191,,11,
22194,,3,
22200,,2,
22202,,1,
22206,,1,
22207,,1,
22212,,1,
22217,,8,
22218,,2,
22219,,1,
22220,,10,
22222,,1,
22225,,9,
22231,,4,
22233,,1,
22234,,8,
22235,,1,
22240,,4,
22242,,1,
22243,,2,
22244,,6,
22253,,,2
22254,,1,
22258,,5,
22262,,1,
22263,,1,1
22264,,4,
22266,,4,
22269,,1,
22270,,1,
22271,,2,
22273,,1,
22278,,2,
22279,,2,
22280,,11,
22282,,9,
22283,,10,5
22285,,1,
22286,,4,
22287,,1,
22288,,25,
22289,,1,
22290,,1,
22295,,1,
22297,,2,
22298,1,4,
22299,,2,
22301,,3,
22302,,1,
22304,,1,
22307,,3,
22309,2,,
22310,,2,
22313,,1,
22315,,13,
22316,,5,
22319,,6,
22320,,1,
22322,,6,
22323,,,1
22324,,7,
22325,,1,
22327,,9,
22328,,3,
22335,,5,
22336,,7,
22337,,1,
22338,,1,1
22340,,7,
22341,,1,
22343,,12,
22346,,1,
22348,,27,
22349,,4,
22354,,10,2
22355,,1,
22360,,2,
22364,,1,
22378,,11,
22380,,13,1
22384,,1,
22394,,3,
22395,,5,
22402,,22,
22403,,1,
22404,,1,
22406,,1,
22409,,1,
22413,,1,
22420,,1,
22424,,1,
22426,,1,
22427,,3,
22428,,3,
22432,,2,1
22435,,2,1
22436,,1,
22437,,3,
22438,,20,
22441,,3,
22444,,1,
22445,,3,
22447,,1,
22451,,1,
22452,,22,1
22456,,1,
22460,,8,
22461,,3,
22463,,3,
22464,,7,
22465,,7,
22466,,1,
22467,,32,
22471,,3,
22472,,2,
22475,,7,
22476,,9,
22478,,2,
22481,,1,
22482,,7,1
22484,,4,
22486,,2,
22489,,2,
22490,1,,
22491,,1,
22492,,2,
22496,,2,
22497,,3,
22498,,3,
22499,,1,
22500,,23,
22502,,10,1
22507,,5,
22508,,3,
22510,,3,
22513,,12,
22514,,15,
22515,,2,
22517,,4,
22518,,1,
22519,,3,
22520,,3,
22521,,2,
22522,,1,
22528,,1,
22529,,,2
22530,,1,
22531,,1,
22533,,1,
22539,,51,
22540,,49,
22541,,8,
22542,,1,1
22543,,1,
22546,,2,
22547,,12,
22551,,4,
22553,,7,
22555,,1,
22557,,4,
22559,1,27,
22560,,2,
22561,,2,
22565,,4,
22566,,49,1
22568,,3,
22571,,6,
22572,,8,
22573,,5,
22576,,10,
22579,,26,
22580,,1,
22581,,1,
22591,,1,
22592,,1,
22593,,2,
22596,,1,
22597,,1,
22600,,1,
22601,1,,
22603,,7,
22604,,2,
22608,,3,
22609,,5,
22614,,3,
22616,,6,
22618,,1,
22619,,12,
22621,,2,
22622,,3,
22624,,2,
22625,,1,
22627,,1,
22628,,5,
22629,,1,
22631,,4,
22633,,8,
22635,,3,2
22636,,8,
22638,,2,
22639,,1,
22640,,1,
22644,,10,
22646,,10,1
22648,,3,
22656,,1,2
22661,,2,
22663,,10,1
22664,,6,
22665,1,7,
22666,,4,
22668,,1,
22669,,5,
22670,,1,
22671,,5,
22672,,3,
22675,,5,
22677,,1,
22682,,3,
22687,,4,
22689,,2,
22690,,2,
22700,,1,
22702,,5,
22707,,1,
22710,,1,
22712,,25,
22713,,2,
22716,,1,
22720,,1,
22721,,2,
22723,,1,
22729,,10,
22730,,15,
22731,,2,
22734,,1,
22738,,4,
22742,,1,
22745,,8,
22747,,8,
22750,,3,
22752,,1,
22753,,1,
22754,,1,
22762,,2,
22764,,1,
22765,,2,
22766,,10,
22768,,7,
22777,,1,1
22781,,1,
22782,,6,
22783,,2,
22785,,10,
22786,,3,
22792,,5,
22793,,2,
22796,,10,
22800,,8,
22802,,5,
22807,,14,4
22808,,2,
22813,,1,
22814,,3,
22815,,34,
22819,,8,
22830,1,6,
22836,,14,
22837,,1,
22839,,9,
22840,,6,
22845,1,3,
22847,,3,
22848,,4,
22850,,1,
22852,,1,
22855,,2,
22856,,1,
22857,,2,
22862,,2,
22863,,1,
22868,,5,
22873,,5,
22874,,11,
22876,,1,
22877,,5,
22882,,4,
22883,,4,
22884,,9,
22885,,3,
22886,1,,
22888,,5,3
22889,,1,
22890,,12,
22892,,2,
22893,,4,
22897,,1,
22898,,6,
22899,,5,
22901,,4,
22903,,27,
22907,,3,
22908,,1,
22909,,6,
22910,,7,
22913,1,3,
22915,,9,
22917,,4,
22918,,1,
22919,,9,
22920,,9,
22923,,2,
22924,,25,
22926,1,,
22928,,5,
22930,,9,
22933,,10,
22936,,3,
22939,,11,
22941,,1,
22942,,9,
22945,1,,
22946,,4,
22947,,2,
22952,,19,
22954,,3,
22959,,26,
22965,,1,
22967,,3,1
22968,,1,
22970,,1,
22971,,5,1
22972,,4,
22973,,7,
22976,,2,
22977,,10,
22979,,4,
22982,,2,
22985,,8,
22986,,1,
22987,,1,
22989,,3,
22992,,2,
22993,,2,
22994,,2,
22997,,6,
22998,,6,
23000,,3,
23003,,9,
23005,,3,
23007,,3,
23011,,1,
23012,,2,1
23013,,2,
23020,,26,
23024,,12,
23031,,2,
23035,,2,
23036,,6,
23040,,1,
23043,,1,
23044,,8,
23047,,2,
23054,,4,
23062,,1,
23063,,1,
23064,,3,
23065,,2,
23067,,13,
23068,,11,
23069,1,2,
23070,,5,
23072,,18,
23073,,1,
23074,,1,
